,order_id,start_state_abr,end_state_abr,start_city,end_city,start_zip,end_zip,total_volume_inches3,total_distance_miles,total_weight_lbs,total_predicted_hours
2546,12546,ca,ca,sanclemente,orange,92673,92868,4.0,25.584929,4.0,0.52444446
2547,12547,ny,nj,fishkill,livingston,12524,07039,2340.0,55.415672,10.0,1.6061112
2548,12548,nj,nj,newark,montvale,7201,07645,432.0,26.08389,3.0,1.0166667
2549,12549,ca,ca,sacramento,sacramento,95815,95821,1728.0,4.946496,2.0,0.16611111
2550,12550,ny,ny,newyorkcity,newyorkcity,11430,11430,499.78445,1.381266,2.204,0.20055556
2551,12551,ca,ca,ranchocucamonga,losangeles,91730,90042,1.0,35.671726,1.0,0.9636111
2552,12552,wa,wa,renton,seattle,98058,98168,180.0,9.231401,1.0,0.36805555
2553,12553,nj,nj,newark,livingston,7114,7039,864.0,11.9052925,5.0,0.51
2554,12554,ca,ca,vallejo,sacramento,94589,95834,1.0,54.07085,1.0,1.0408334
2555,12555,ca,ca,elsegundo,compton,90245,90222,192.0,8.629893,10.0,0.33472222
2556,12556,ca,ca,losangeles,losangeles,90058,90049,5400.0,14.134492,10.0,0.44333333
2557,12557,tx,tx,dallas,elpaso,76051,79906,1464.5698,549.581,17.83036,10.245556
2558,12558,tn,tn,memphis,memphis,38118,38116,2.0,5.330575,7.54,0.25138888
2559,12559,ca,ca,riverside,riverside,92507,92505,192.0,10.198926,50.0,0.31638888
2560,12560,wa,wa,seattle,kent,98101,98031,1428.0,15.759827,6.0,0.60805553
2561,12561,ca,ca,victorville,highland,92395,92346,1.0,24.782976,1.0,0.8288889
2562,12562,wa,wa,seattle,seattle,98115,98104,0.125,6.33816,0.5,0.24916667
2563,12563,ca,ca,santaana,torrance,92705,90503,3150.0,30.498907,45.0,0.7847222
2564,12564,tx,tx,sanantonio,sanantonio,78258,78213,72.0,9.776734,0.25,0.30444443
2565,12565,fl,fl,miamibeach,miami,33140,33138,1024.0,3.7001493,20.0,0.22583333
2566,12566,ca,ca,downey,santaana,90242,92705,1440.0,20.984232,15.0,0.62416667
2567,12567,nj,nj,shrewsbury,livingston,7702,07039,864.0,35.925705,5.0,0.99916667
2568,12568,tx,tx,sanantonio,sanantonio,78229,78229,72.0,0.5566848,0.25,0.11361111
2569,12569,ny,ny,newyorkcity,newyorkcity,10016,10021,2016.0,1.8409646,2.0,0.13166666
2570,12570,il,il,desplaines,foxrivergrove,60018,60021,7776.0,22.12355,48.0,0.60944444
2571,12571,or,or,oregoncity,portland,97045,97230,1.0,14.359888,1.0,0.5975
2572,12572,ca,ca,sandiego,santee,92131,92071,384.0,8.547838,66.0,0.3536111
2573,12573,mn,mn,saintpaul,minneapolis,55114,55450,864.0,6.0730557,5.0,0.35944444
2574,12574,tx,tx,grandprairie,roanoke,75050,76262,19200.0,23.899698,80.0,0.60694444
2575,12575,il,wi,libertyville,waukesha,60060,53188,1.0,50.19581,2.0,1.3475
2576,12576,tx,tx,fortworth,dallas,76118,75227,125.0,29.78543,5.0,0.71194446
2577,12577,tx,tx,grapevine,dallas,76051,75208,3000.0,14.8408985,20.0,0.47166666
2578,12578,ny,ny,springville,buffalo,14141,14228,1.0,35.510635,1.0,0.725
2579,12579,ca,ca,sandiego,sandiego,92123,92103,1728.0,4.7942157,1.0,0.2725
2580,12580,mn,mn,plymouth,minneapolis,55447,55450,162.0,15.340816,2.0,0.51861113
2581,12581,fl,fl,miami,naples,33122,34104,900.0,95.923386,2.0,1.8916667
2582,12582,ca,ca,corona,riverside,92881,92503,1.0,8.418082,1.0,0.40194446
2583,12583,ca,ca,lamirada,santaana,90638,92706,125.0,12.739988,5.0,0.44722223
2584,12584,tx,tx,dallas,dallas,75246,75230,216.0,8.401261,3.0,0.25972223
2585,12585,mi,mi,troy,southlyon,48083,48178,1728.0,26.38933,1.0,0.75333333
2586,12586,ny,ny,newyorkcity,newyorkcity,10017,10021,3267.0,1.5148652,23.0,0.195
2587,12587,tn,tn,memphis,memphis,38119,38118,2.0,4.86271,4.36,0.24527778
2588,12588,ca,ca,sacramento,fairoaks,95817,95628,512.0,11.639359,1.0,0.37666667
2589,12589,ny,ny,hempstead,eastsyracuse,11550,13057,1000.0,204.59956,5.0,4.641667
2590,12590,ga,ga,duluth,griffin,30096,30224,4320.0,51.576923,50.0,1.355
2591,12591,wa,wa,tacoma,tacoma,98408,98405,1.0,4.9164257,1.0,0.23111111
2592,12592,wa,or,vancouver,portland,98684,97230,1.0,3.892557,1.0,0.23333333
2593,12593,ca,ca,costamesa,missionviejo,92627,92691,960.0,15.832013,25.0,0.45083332
2594,12594,tx,tx,roanoke,dallas,76262,76051,6202.471,13.564925,13.227,0.325
2595,12595,az,az,phoenix,phoenix,85034,85034,1.0,2.0829964,1.0,0.35944444
2596,12596,fl,fl,fortlauderdale,westpalmbeach,33315,33406,1536.0,41.622894,5.0,0.9236111
2597,12597,ca,ca,azusa,losangeles,91702,90045,1377.0,28.946392,5.0,0.68472224
2598,12598,ca,ca,sanjose,sanfrancisco,95120,94115,286.0,50.838116,5.0,1.3280555
2599,12599,ca,ca,sanleandro,sanramon,94577,94583,192.0,11.461798,15.0,0.5536111
2600,12600,ca,ca,sacramento,sacramento,95817,95838,1.0,7.0460505,1.0,0.3661111
2601,12601,ca,ca,santaclarita,bakersfield,91350,93301,1617.0,72.014694,20.0,1.7047222
2602,12602,ca,ca,costamesa,anaheim,92627,92805,960.0,14.133456,25.0,0.4236111
2603,12603,pa,pa,hellertown,philadelphia,18055,19153,7500.0,48.976086,40.0,1.3597223
2604,12604,tx,tx,dallas,dallas,75231,75208,0.75,9.707959,1.0,0.42027777
2605,12605,ca,ca,sacramento,woodland,95815,95776,192.0,17.18752,6.0,0.4788889
2606,12606,or,wa,hillsboro,seatac,97124,98158,21344.0,134.60222,40.0,3.2261112
2607,12607,ca,ca,beverlyhills,losangeles,90210,90049,128.0,4.271921,1.0,0.2525
2608,12608,ca,ca,fremont,fremont,94538,94536,216.0,1.0352508,1.0,0.09
2609,12609,ca,ca,carlsbad,carlsbad,92011,92011,6912.0,0.018423049,23.0,0.0011111111
2610,12610,ca,ca,lamirada,santaana,90638,92706,125.0,12.7316,1.0,0.40666667
2611,12611,wa,wa,redmond,seattle,98052,98126,864.0,14.127247,15.0,0.785
2612,12612,ca,ca,sanleandro,danville,94577,94526,192.0,12.772621,5.0,0.585
2613,12613,nc,nc,cary,morrisville,27513,27560,7360.0,3.9360056,30.0,0.19916667
2614,12614,tx,tx,pearland,houston,77584,77030,24.0,9.159651,1.0,0.31805557
2615,12615,ca,ca,livermore,sanfrancisco,94551,94128,13824.0,37.156834,52.0,1.025
2616,12616,tx,tx,mesquite,rockwall,75150,75032,1728.0,12.119995,5.0,0.32277778
2617,12617,ca,ca,poway,escondido,92064,92029,1.0,9.422534,1.0,0.33722222
2618,12618,ca,ca,cerritos,losangeles,90703,90069,1680.0,23.677605,6.0,0.8502778
2619,12619,ca,ca,vannuys,missionhills,91406,91345,192.0,4.875005,7.0,0.25
2620,12620,fl,fl,miami,miami,33138,33196,200.0,20.06719,10.0,0.93416667
2621,12621,ca,ca,oakland,oakland,94611,94610,1.0,0.55444664,1.0,0.08611111
2622,12622,ca,ca,sacramento,fairoaks,95815,95628,1728.0,9.044043,3.0,0.35833332
2623,12623,ca,ca,sandiego,sandiego,92103,92129,1000.0,13.52796,1.0,0.41833332
2624,12624,ca,ca,concord,pinole,94520,94564,5040.0,12.348269,1.0,0.4697222
2625,12625,ny,ny,newyorkcity,newyorkcity,11371,11430,1881.0,9.8749,2.0,0.36555555
2626,12626,ca,ca,sacramento,elkgrove,95815,95758,192.0,12.678983,20.0,0.48583335
2627,12627,ny,ny,valhalla,stonybrook,10595,11790,189.75,37.978016,1.0,1.6041666
2628,12628,ny,ny,newyorkcity,manhasset,11432,11030,3168.0,6.4062977,30.0,0.25916666
2629,12629,or,or,portland,corvallis,97227,97330,4608.0,71.120636,22.0,1.6383333
2630,12630,tx,tx,bedford,dallas,76021,75230,3375.0,20.611471,20.0,0.6072222
2631,12631,ny,ny,newyorkcity,ronkonkoma,11430,11779,1500.0,36.725475,15.0,0.9911111
2632,12632,tx,tx,fortworth,dallas,76104,75231,200.0,34.172825,2.0,0.7727778
2633,12633,ca,ca,santaana,losangeles,92705,90015,3780.0,32.257477,36.0,1.1719445
2634,12634,ca,ca,cameronpark,sacramento,95682,95834,1.0,27.429276,1.0,0.69555557
2635,12635,wa,wa,seattle,sumner,98168,98390,17298.0,19.710028,80.0,0.5975
2636,12636,fl,fl,palmharbor,largo,34684,33770,1.0,10.495071,1.0,0.4097222
2637,12637,ca,ca,hemet,redlands,92545,92373,2.0,24.225178,2.0,0.7486111
2638,12638,fl,fl,tampa,bocaraton,33615,33428,7616.0,183.19286,20.0,3.9555554
2639,12639,ca,ca,sacramento,sacramento,95816,95834,1.0,4.834486,1.0,0.24944444
2640,12640,ca,ca,manhattanbeach,elsegundo,90266,90245,4608.0,2.8627574,50.0,0.17194444
2641,12641,ca,ca,glendale,gardena,91208,90248,500.0,24.077868,15.0,0.5863889
2642,12642,tx,tx,dallas,dallas,75246,75231,720.0,7.107443,5.0,0.23666666
2643,12643,ga,ga,norcross,atlanta,30071,30337,1.0,22.001867,1.0,0.6125
2644,12644,fl,fl,jacksonville,jacksonville,32208,32207,1.0,3.9515123,1.0,0.20638889
2645,12645,ga,ga,norcross,atlanta,30071,30337,8160.0,25.786661,55.0,0.73638886
2646,12646,ny,pa,valhalla,philadelphia,10595,19123,1120.0,105.00859,3.0,2.4416666
2647,12647,fl,fl,orlando,daniabeach,32827,33004,1215.0,179.37527,5.0,3.2675
2648,12648,ca,ca,santaana,lamirada,92706,90638,375.0,12.7400055,15.0,0.5908333
2649,12649,ny,ny,tuckahoe,newyorkcity,10707,10016,10600.0,16.935541,27.0,0.7038889
2650,12650,pa,nj,norristown,fortlee,19403,7024,6480.0,91.08748,50.0,2.033611
2651,12651,ca,ca,yucaipa,riverside,92399,92503,1.0,24.272505,1.0,0.6613889
2652,12652,ca,ca,lamirada,paramount,90638,90723,1.0,8.819276,1.0,0.36416668
2653,12653,ca,ca,morganhill,sanjose,95037,95131,192.0,22.168804,28.0,0.5605556
2654,12654,nc,nc,chapelhill,durham,27514,27705,80.0,9.419289,2.0,0.3911111
2655,12655,tx,tn,dallas,memphis,75231,38104,3375.0,416.36374,30.0,7.6313887
2656,12656,fl,fl,plantcity,gainesville,33563,32608,16.0,110.94896,1.0,2.103889
2657,12657,ca,ca,sancarlos,sanrafael,94070,94901,5824.0,36.990948,24.0,1.1180556
2658,12658,nc,pa,durham,philadelphia,27705,19107,6912.0,341.5119,60.0,7.065
2659,12659,ca,ca,sacramento,elkgrove,95815,95758,192.0,12.955335,13.0,0.4513889
2660,12660,ca,ca,sanjose,sanjose,95131,95112,192.0,1.322065,16.0,0.115555555
2661,12661,il,il,itasca,chicago,60143,60638,125.0,19.155249,2.0,0.6225
2662,12662,tx,tx,irving,fortworth,75063,76244,1000.0,16.891464,2.0,0.45916668
2663,12663,fl,fl,fortlauderdale,miami,33328,33122,8370.0,18.695173,72.0,0.72055554
2664,12664,ca,ca,southsanfrancisco,fostercity,94080,94404,405.0,9.436175,5.0,0.39416668
2665,12665,fl,fl,safetyharbor,tampa,34695,33619,250.0,23.182161,10.0,0.6369445
2666,12666,or,or,portland,salem,97227,97301,4608.0,46.001686,24.0,0.9663889
2667,12667,wa,wa,seattle,seattle,98168,98158,180.0,1.7709687,1.0,0.14777778
2668,12668,ca,ca,burbank,arcadia,91502,91007,192.0,16.449694,50.0,0.49666667
2669,12669,tx,tx,dallas,galveston,75246,77550,180.0,268.0377,1.0,4.7363887
2670,12670,ny,nj,mineola,livingston,11501,7039,864.0,37.648552,5.0,1.4291667
2671,12671,tx,tx,dallas,dallas,75231,76051,2268.0,15.745064,30.0,0.5772222
2672,12672,il,mi,itasca,annarbor,60143,48108,157.5,220.78346,1.0,4.6
2673,12673,fl,fl,pompanobeach,fortlauderdale,33069,33315,3456.0,12.814662,20.0,0.43555555
2674,12674,ca,ca,southsanfrancisco,sanfrancisco,94080,94112,88.0,4.0357947,2.0,0.32555556
2675,12675,ca,ca,sanleandro,oakland,94577,94610,192.0,8.467871,2.0,0.33916667
2676,12676,ny,ny,newyorkcity,ballstonspa,11430,12020,3520.0,160.55562,7.0,3.4816666
2677,12677,ny,ny,tuckahoe,newyorkcity,10707,11209,3375.0,25.28112,5.0,1.2655555
2678,12678,tx,tx,sanantonio,temple,78229,76508,2197.0,130.43736,20.0,2.4466667
2679,12679,wa,wa,kent,seattle,98032,98134,1.0,13.313789,1.0,0.3925
2680,12680,ca,ca,roseville,orangevale,95661,95662,4608.0,5.430706,30.0,0.21805556
2681,12681,fl,fl,belleview,gainesville,34420,32605,1.0,45.990158,1.0,0.995
2682,12682,ca,ca,sanleandro,sanleandro,94577,94578,160.0,2.124043,1.0,0.25583333
2683,12683,ca,ca,ranchocucamonga,topanga,91730,90290,1.0,59.041283,1.0,1.5494444
2684,12684,ca,ca,sanjose,sanfrancisco,95116,94131,5488.0,43.36147,30.0,1.0775
2685,12685,ca,ca,ranchocucamonga,losangeles,91730,90039,1.0,39.44961,1.0,0.9355556
2686,12686,tx,tx,bedford,greenville,76021,75402,3375.0,60.136627,20.0,1.2575
2687,12687,nv,az,lasvegas,mesa,89119,85212,2500.0,276.0513,33.0,5.503889
2688,12688,ca,ca,sacramento,goldriver,95815,95670,1728.0,11.125878,8.0,0.41777778
2689,12689,nj,nj,edison,parsippany-troyhills,8837,7054,1.0,24.37551,1.0,0.80444443
2690,12690,tx,tx,irving,plano,75063,75093,6272.0,10.225592,30.0,0.3561111
2691,12691,fl,fl,fortlauderdale,orlando,33312,32827,732.2849,177.40309,2.204,2.9475
2692,12692,tx,tx,dallas,coppell,75225,75019,1500.0,14.83931,4.0,0.49916667
